0ctf2017__babyheap-ef570c4099	task_timeout	timeout	outer_timeout	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2017__babyheap-ef570c4099/enigma_output/attempt-20260830T232905880720-22ac17c5/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_babyheap.traj	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2017__babyheap-ef570c4099.error.log
0ctf2017__diethard-42aa242adb	task_timeout	timeout	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2017__diethard-42aa242adb/enigma_output/attempt-20260830T232905925344-03a5c104/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_diethard.traj	-
0ctf2017__easiestprintf-4f87eb0f0f	task_timeout	timeout	outer_timeout	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2017__easiestprintf-4f87eb0f0f/enigma_output/attempt-20260830T232905972460-f278cc1a/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_easiestprintf.traj	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2017__easiestprintf-4f87eb0f0f.error.log
0ctf2018__blackhole-a700794e47	model_timeout	timeout	model_timeout	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2018__blackhole-a700794e47/enigma_output/attempt-20260830T232906076193-988b927f/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_blackhole.traj	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2018__blackhole-a700794e47.error.log
0ctf2018__freenote2018-14294ef976	task_timeout	timeout	outer_timeout	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2018__freenote2018-14294ef976/enigma_output/attempt-20260830T232906134395-a4e1cdbf/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_freenote2018.traj	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2018__freenote2018-14294ef976.error.log
0ctf2018__zerofs-a2e28d4faf	task_timeout	timeout	outer_timeout	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2018__zerofs-a2e28d4faf/enigma_output/attempt-20260830T234254365526-2835b737/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_zerofs.traj	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2018__zerofs-a2e28d4faf.error.log
0ctf2019__babysandbox-7a2ec9c71b	task_timeout	timeout	outer_timeout	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2019__babysandbox-7a2ec9c71b/enigma_output/attempt-20260831T000851651860-c89d0891/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_babysandbox.traj	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2019__babysandbox-7a2ec9c71b.error.log
0ctf2019__elements-12c9366ea1	task_timeout	timeout	outer_timeout	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2019__elements-12c9366ea1/enigma_output/attempt-20260831T002745643068-1ecacbc0/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/rev_elements.traj	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2019__elements-12c9366ea1.error.log
0ctf2019__flropyd-09e7147194	task_timeout	timeout	outer_timeout	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2019__flropyd-09e7147194/enigma_output/attempt-20260831T002754903193-120d84ee/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_flropyd.traj	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2019__flropyd-09e7147194.error.log
0ctf2019__sanitize-eaf6397f86	task_timeout	timeout	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2019__sanitize-eaf6397f86/enigma_output/attempt-20260831T002908125714-624059b7/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/misc_sanitize.traj	-
0ctf2019__scanner-0dbd381bf4	task_timeout	timeout	outer_timeout	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2019__scanner-0dbd381bf4/enigma_output/attempt-20260831T002908957711-379d0adb/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_scanner.traj	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2019__scanner-0dbd381bf4.error.log
