0ctf2018__heapstorm-0159a07ea6	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2018__heapstorm-0159a07ea6/enigma_output/attempt-20260830T232906194263-407c6f19/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_heapstorm.traj	KeyError	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2018__heapstorm-0159a07ea6.error.log
0ctf2021quals__vp-73b9611bad	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2021quals__vp-73b9611bad/enigma_output/attempt-20260831T011116807599-c56562af/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/rev_vp.traj	KeyError	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2021quals__vp-73b9611bad.error.log
0ctf2021quals__zer0lfsr-94e599756e	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/0ctf2021quals__zer0lfsr-94e599756e/enigma_output/attempt-20260831T012712156619-52caab8e/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/crypto_zer0lfsr.traj	KeyError	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0ctf2021quals__zer0lfsr-94e599756e.error.log
0x41414141ctf2021__moving-signals-1dbead341e		runner_error	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/0x41414141ctf2021__moving-signals-1dbead341e.error.log
29c3ctf2012__minesweeper-dcf924888f	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/29c3ctf2012__minesweeper-dcf924888f/enigma_output/attempt-20260831T025445388952-10f95113/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_minesweeper.traj	KeyError	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/29c3ctf2012__minesweeper-dcf924888f.error.log
amateursctf__division-fbe1862c45	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/amateursctf__division-fbe1862c45/enigma_output/attempt-20260831T045117719578-dadcc021/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/crypto_division.traj	KeyError	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/amateursctf__division-fbe1862c45.error.log
angstromctf2017__royalcasino-03333d0435	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/angstromctf2017__royalcasino-03333d0435/enigma_output/attempt-20260831T075443384134-8dc28786/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/crypto_royalcasino.traj	KeyError	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/angstromctf2017__royalcasino-03333d0435.error.log
angstromctf2022__amongus-7f5512976a	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/angstromctf2022__amongus-7f5512976a/enigma_output/attempt-20260831T104054454060-d65508cf/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/misc_amongus.traj	KeyError	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/angstromctf2022__amongus-7f5512976a.error.log
asisctf2013__inaccessible-3de9b201ef	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/asisctf2013__inaccessible-3de9b201ef/enigma_output/attempt-20260831T125811908922-bfea7019/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/forensics_inaccessible.traj	KeyError	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/asisctf2013__inaccessible-3de9b201ef.error.log
breakthesyntaxctf2026__shellcode-1-11-1ff87be40a	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/breakthesyntaxctf2026__shellcode-1-11-1ff87be40a/enigma_output/attempt-20260831T153800667755-80b58363/glm52_10__challenge__default_ctf__t-0.00__p-0.95__k-20__c-0.00__install-1/pwn_shellcode111.traj	RuntimeError	-	-	/data2/nfs/wangyingqi/Cyber-Zero/trajectories/ctfdojo_3traj_20260830_232646/traj_001/logs/breakthesyntaxctf2026__shellcode-1-11-1ff87be40a.error.log
